OBJECTID,ID,LinkID,Width,Center_X,Center_Y,Start_X,Start_Y,End_X,End_Y,NEAR_FID,NEAR_DIST,NEAR_ANGLE
1,53619,53619,3.6,563312.4167,4483978.488,563390.8572,4483834.784,563274.2637,4484134.409,2,39206.36471,52.49966126
2,53621,53621,3.6,563284.1895,4484252.371,563274.2637,4484134.409,563298.4515,4484369.954,2,39004.96834,52.31721578
3,53709,53709,7.2,563711.7193,4484496.067,563620.1783,4484459.384,563804.0272,4484530.777,2,38569.8196,52.76555686
4,53710,53710,7.2,563491.0326,4484621.193,563620.1783,4484459.384,563361.8869,4484783.003,2,38639.83059,52.01725675
5,53712,53712,7.2,563916.2884,4485174.188,563532.6833,4484894.13,564315.8884,4485415.695,2,37555.7796,52.57040295
6,53716,53716,7.2,564435.3751,4486330.226,564436.3675,4486308.477,564434.3827,4486351.976,2,36743.32903,51.82974932
7,53717,53717,7.2,564429.7238,4486509.07,564434.3827,4486351.976,564425.0649,4486666.165,2,36502.6348,51.51347495
8,53718,53718,7.2,564886.0717,4486345.007,564851.3242,4486342.041,564920.8192,4486347.974,2,36447.88987,52.43481846
9,53719,53719,7.2,564585.1656,4486347.062,564636.3389,4486350.946,564533.9923,4486343.178,2,36619.67685,52.07916591
10,53721,53721,14.4,564792.9053,4484210.202,564328.595,4484087.239,565235.021,4484396.266,2,37830.74959,54.6146618
11,53723,53723,14.4,566082.2694,4484572.202,565235.021,4484396.266,566893.8636,4484855.306,2,36512.08683,56.32003153
12,53724,53724,7.2,564512.4937,4484945.113,564169.071,4484695.311,564846.0888,4485208.138,2,37402.35492,53.40864902
13,53725,53725,7.2,564918.7902,4485278.381,564846.0888,4485208.138,564989.5556,4485350.59,2,37202.47077,53.4552753
14,53727,53727,7.2,564807.2444,4485761.949,564989.5556,4485350.59,564821.806,4486229.443,2,36602.20988,52.42508212
15,53728,53728,3.6,564814.8402,4486267.075,564804.5595,4486303.559,564821.806,4486229.443,2,36554.03287,52.33281586
16,53729,53729,7.2,565053.1895,4486361.226,564949.1639,4486351.772,565157.2151,4486370.68,2,36286.18425,52.7088359
17,53730,53730,3.6,564883.9987,4486412.752,564811.9913,4486579.484,564708.454,4486357.565,2,36331.44096,52.07618849
18,53731,53731,7.2,564942.4093,4486383.244,565176.3645,4486408.924,564708.454,4486357.565,2,36244.15774,52.69629058
19,53732,53732,3.6,565003.7513,4486332.692,564949.1639,4486351.772,565022.917,4486277.26,2,36408.66159,52.54097891
